id,title,genres,overview,popularity,release_date,budget,revenue,tagline,original_language,runtime,image_width,image_height,caption,caption_with_overview,genre_names,num_genres
937249,57 Seconds,"[{'id': 53, 'name': 'Thriller'} {'id': 878, 'name': 'Science Fiction'}
 {'id': 28, 'name': 'Action'}]","When a tech blogger lands an interview with a tech guru and stops an attack on him, he finds a mysterious ring that takes him back 57 seconds into the past.",1036.051,2023-09-29,0,0,Rewind the past. Avenge the future.,en,99,500,750,"Title: 57 Seconds
Genres: Thriller, Science Fiction, Action","Title: 57 Seconds
Genres: Thriller, Science Fiction, Action
Overview: When a tech blogger lands an interview with a tech guru and stops an attack on him, he finds a mysterious ring that takes him back 57 seconds into the past.","['Thriller', 'Science Fiction', 'Action']",3
575264,Mission: Impossible - Dead Reckoning Part One,"[{'id': 28, 'name': 'Action'} {'id': 53, 'name': 'Thriller'}]","Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",3132.329,2023-07-08,291000000,567148955,We all share the same fate.,en,164,500,750,"Title: Mission: Impossible - Dead Reckoning Part One
Genres: Action, Thriller","Title: Mission: Impossible - Dead Reckoning Part One
Genres: Action, Thriller
Overview: Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.","['Action', 'Thriller']",2
299054,Expend4bles,"[{'id': 28, 'name': 'Action'} {'id': 12, 'name': 'Adventure'}
 {'id': 53, 'name': 'Thriller'}]","Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world’s last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give “new blood” a whole new meaning.",1063.874,2023-09-15,100000000,30000000,They'll die when they're dead.,en,103,500,750,"Title: Expend4bles
Genres: Action, Adventure, Thriller","Title: Expend4bles
Genres: Action, Adventure, Thriller
Overview: Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world’s last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give “new blood” a whole new meaning.","['Action', 'Adventure', 'Thriller']",3
678512,Sound of Freedom,"[{'id': 28, 'name': 'Action'} {'id': 18, 'name': 'Drama'}]","The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.",1271.779,2023-07-03,15000000,238000000,Fight for the light. Silence the darkness.,en,131,500,750,"Title: Sound of Freedom
Genres: Action, Drama","Title: Sound of Freedom
Genres: Action, Drama
Overview: The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.","['Action', 'Drama']",2
1151534,Nowhere,"[{'id': 53, 'name': 'Thriller'} {'id': 18, 'name': 'Drama'}]","A young pregnant woman named Mia escapes from a country at war by hiding in a maritime container aboard a cargo ship. After a violent storm, Mia gives birth to the child while lost at sea, where she must fight to survive.",1290.251,2023-09-29,0,0,Attempting to survive in the middle of nowhere is her only option.,es,109,500,750,"Title: Nowhere
Genres: Thriller, Drama","Title: Nowhere
Genres: Thriller, Drama
Overview: A young pregnant woman named Mia escapes from a country at war by hiding in a maritime container aboard a cargo ship. After a violent storm, Mia gives birth to the child while lost at sea, where she must fight to survive.","['Thriller', 'Drama']",2
968051,The Nun II,"[{'id': 27, 'name': 'Horror'} {'id': 9648, 'name': 'Mystery'}
 {'id': 53, 'name': 'Thriller'}]","In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil.",1706.801,2023-09-06,38500000,257010000,Confess your sins.,en,110,500,750,"Title: The Nun II
Genres: Horror, Mystery, Thriller","Title: The Nun II
Genres: Horror, Mystery, Thriller
Overview: In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil.","['Horror', 'Mystery', 'Thriller']",3
1008042,Talk to Me,"[{'id': 27, 'name': 'Horror'} {'id': 53, 'name': 'Thriller'}]","When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",1188.455,2023-07-26,0,72600000,You call. They'll answer.,en,95,500,750,"Title: Talk to Me
Genres: Horror, Thriller","Title: Talk to Me
Genres: Horror, Thriller
Overview: When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.","['Horror', 'Thriller']",2
980489,Gran Turismo,"[{'id': 12, 'name': 'Adventure'} {'id': 28, 'name': 'Action'}
 {'id': 18, 'name': 'Drama'}]",The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.,1025.362,2023-08-09,60000000,114800000,From gamer to racer.,en,135,500,750,"Title: Gran Turismo
Genres: Adventure, Action, Drama","Title: Gran Turismo
Genres: Adventure, Action, Drama
Overview: The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.","['Adventure', 'Action', 'Drama']",3
961268,Ballerina,"[{'id': 28, 'name': 'Action'} {'id': 80, 'name': 'Crime'}
 {'id': 53, 'name': 'Thriller'}]","Grieving the loss of a best friend she couldn't protect, an ex-bodyguard sets out to fulfill her dear friend's last wish: sweet revenge.",1091.044,2023-10-05,0,0,"Merciless and ruthless, to hell.",ko,93,500,750,"Title: Ballerina
Genres: Action, Crime, Thriller","Title: Ballerina
Genres: Action, Crime, Thriller
Overview: Grieving the loss of a best friend she couldn't protect, an ex-bodyguard sets out to fulfill her dear friend's last wish: sweet revenge.","['Action', 'Crime', 'Thriller']",3
762430,Retribution,"[{'id': 28, 'name': 'Action'} {'id': 53, 'name': 'Thriller'}
 {'id': 80, 'name': 'Crime'}]","When a mysterious caller puts a bomb under his car seat, Matt Turner begins a high-speed chase across the city to complete a specific series of tasks. With his kids trapped in the back seat and a bomb that will explode if they get out of the car, a normal commute becomes a twisted game of life or death as Matt follows the stranger's increasingly dangerous instructions in a race against time to save his family.",697.448,2023-08-23,20000000,12905464,All roads lead to the truth.,en,93,500,750,"Title: Retribution
Genres: Action, Thriller, Crime","Title: Retribution
Genres: Action, Thriller, Crime
Overview: When a mysterious caller puts a bomb under his car seat, Matt Turner begins a high-speed chase across the city to complete a specific series of tasks. With his kids trapped in the back seat and a bomb that will explode if they get out of the car, a normal commute becomes a twisted game of life or death as Matt follows the stranger's increasingly dangerous instructions in a race against time to save his family.","['Action', 'Thriller', 'Crime']",3
